experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,189,5100,train,4.3235,196686,1098.81
,190,5100,train,4.4947,197781,1098.78
,191,5100,train,4.6214,199001,1099.45
,192,5100,train,4.6055,200106,1099.48
,193,5100,train,4.2346,201204,1099.48
,194,5100,train,4.7474,202309,1099.51
,195,5100,train,4.5146,203413,1099.53
,196,5100,train,4.6242,204517,1099.55
,197,5100,train,4.5592,205620,1099.57
,198,5100,train,4.6615,206724,1099.59
,199,5100,train,4.4875,207824,1099.60
,200,5100,train,4.7207,208924,1099.60
,201,5100,train,4.6381,210019,1099.58
,202,5100,train,4.5600,211119,1099.58
,203,5100,train,4.8049,212221,1099.59
,204,5100,train,4.6758,213318,1099.58
,205,5100,train,4.6989,214416,1099.57
,206,5100,train,4.3680,215515,1099.56
,207,5100,train,4.5984,216615,1099.57
,208,5100,train,4.7026,217715,1099.57
,209,5100,train,4.5299,218816,1099.58
,210,5100,train,4.5389,219916,1099.58
,211,5100,train,4.4537,221016,1099.58
,212,5100,train,4.4711,222116,1099.58
,213,5100,train,4.6496,223216,1099.59
,214,5100,train,4.5581,224316,1099.59
,215,5100,train,4.5228,225418,1099.60
,216,5100,train,4.4307,226517,1099.60
,217,5100,train,4.5490,227616,1099.59
,218,5100,train,4.6198,228707,1099.55
,219,5100,train,4.4877,229797,1099.51
,220,5100,train,4.4591,230898,1099.51
,221,5100,train,4.4153,231997,1099.51
,222,5100,train,4.4220,233095,1099.51
,223,5100,train,4.6553,234190,1099.48
,224,5100,train,4.4247,235291,1099.49
,225,5100,train,4.6261,236387,1099.47
,226,5100,train,4.3735,237482,1099.45
,227,5100,train,4.4100,238578,1099.44
,228,5100,train,4.4986,239676,1099.43
,229,5100,train,4.5240,240776,1099.43
,230,5100,train,4.4886,241868,1099.40
,231,5100,train,4.4178,242960,1099.37
,232,5100,train,4.5115,244063,1099.38
,233,5100,train,4.4778,245162,1099.38
,234,5100,train,4.3848,246260,1099.38
,235,5100,train,4.4151,247362,1099.39
,236,5100,train,4.5139,248463,1099.39
,237,5100,train,4.2404,249560,1099.38
,238,5100,train,4.4928,250662,1099.39
,239,5100,train,4.4040,251759,1099.38
,240,5100,train,4.2943,252858,1099.38
,241,5100,train,4.5334,253958,1099.39
,242,5100,train,4.2292,255056,1099.38
,243,5100,train,4.4062,256156,1099.38
,244,5100,train,4.5112,257251,1099.36
,245,5100,train,4.2611,258351,1099.37
,246,5100,train,4.3195,259451,1099.37
