experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,506,5100,train,4.5407,546224,1101.26
,507,5100,train,4.6214,547325,1101.26
,508,5100,train,4.7999,548471,1101.35
,509,5100,train,4.4491,549566,1101.34
,510,5100,train,4.5508,550666,1101.33
,511,5100,train,4.5710,551766,1101.33
,512,5100,train,4.3621,552908,1101.41
,513,5100,train,4.4297,554005,1101.40
,514,5100,train,4.6267,555103,1101.40
,515,5100,train,4.7896,556195,1101.38
,516,5100,train,4.5427,557301,1101.39
,517,5100,train,4.4203,558396,1101.37
,518,5100,train,4.6299,559495,1101.37
,519,5100,train,4.3676,560587,1101.35
,520,5100,train,4.5658,561702,1101.38
,521,5100,train,4.4588,562797,1101.36
,522,5100,train,4.3484,563889,1101.35
,523,5100,train,4.5981,564983,1101.33
,524,5100,train,4.3652,566097,1101.36
,525,5100,train,4.4759,567188,1101.34
,526,5100,train,4.5094,568285,1101.33
,527,5100,train,4.7157,569380,1101.31
,528,5100,train,4.4698,570488,1101.33
,529,5100,train,4.4517,571582,1101.31
,530,5100,train,4.4923,572681,1101.31
,531,5100,train,4.5909,573781,1101.31
,532,5100,train,4.4971,574891,1101.32
,533,5100,train,4.5151,575985,1101.31
,534,5100,train,4.6088,577082,1101.30
,535,5100,train,4.5839,578175,1101.29
,536,5100,train,4.4897,579285,1101.30
,537,5100,train,4.4990,580379,1101.29
,538,5100,train,4.4071,581471,1101.27
,539,5100,train,4.3814,582566,1101.26
,540,5100,train,4.4288,583679,1101.28
,541,5100,train,4.4492,584773,1101.27
,542,5100,train,4.3867,585868,1101.26
,543,5100,train,4.4836,586967,1101.25
,544,5100,train,4.4713,588139,1101.38
,545,5100,train,4.5471,589238,1101.38
,546,5100,train,4.5439,590337,1101.37
,547,5100,train,4.3534,591435,1101.37
,548,5100,train,4.5949,592592,1101.47
,549,5100,train,4.3699,593690,1101.47
,550,5100,train,4.6240,594789,1101.46
,551,5100,train,4.4857,595887,1101.45
,552,5100,train,4.3875,597003,1101.48
,553,5100,train,4.5858,598092,1101.46
,554,5100,train,4.4842,599186,1101.44
,555,5100,train,4.4457,600284,1101.44
,556,5100,train,4.5386,601400,1101.46
,557,5100,train,4.4807,602491,1101.45
,558,5100,train,4.3675,603587,1101.44
,559,5100,train,4.4714,604685,1101.43
,560,5100,train,4.3490,605799,1101.45
,561,5100,train,4.4529,606890,1101.43
,562,5100,train,4.4478,607985,1101.42
,563,5100,train,4.2798,609083,1101.42
,564,5100,train,4.4846,610202,1101.45
,565,5100,train,4.3909,611291,1101.43
,566,5100,train,4.3936,612388,1101.42
,567,5100,train,4.4616,613485,1101.41
,568,5100,train,4.4524,614596,1101.43
,569,5100,train,4.6912,615687,1101.41
,570,5100,train,4.4053,616784,1101.40
,571,5100,train,4.4218,617883,1101.40
,572,5100,train,4.3227,619099,1101.60
